Brand,Model,UsedOrNew,Transmission,DriveType,FuelType,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineCapacity,FuelConsumptionPer100km,ColourExt,City,State,YearRanges
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,165306.0,4,Sedan,4,5,14995.0,2.0,7.2,Grey,Minchinbury,NSW,2012-2016
Subaru,XV,USED,Automatic,AWD,Unleaded,104887.0,4,SUV,4,5,22990.0,2.0,7.1,Grey,North Narrabeen,NSW,2012-2016
Mini,Cooper,USED,Automatic,Front,Premium,72501.0,4,Hatchback,5,5,31990.0,2.0,5.5,Yellow,Blacktown,NSW,2017-2019
Peugeot,308,USED,Automatic,Other,Unleaded,167127.0,3,Hatchback,5,5,12999.0,1.375,6.06875,White,Rouse Hill,NSW,2012-2016
Holden,Commodore,USED,Manual,Rear,Unleaded,169220.0,8,Ute / Tray,2,2,25999.0,6.0,14.5,Black,Blacktown,NSW,Before 2012
Hyundai,I20,USED,Automatic,Front,Unleaded,111783.0,4,Hatchback,5,5,13990.0,1.4,5.9,Silver,Croydon,NSW,2012-2016
Mazda,BT-50,USED,Automatic,Rear,Diesel,97460.0,5,Ute / Tray,4,5,30990.0,3.2,9.3,White,Haberfield,NSW,2017-2019
Mazda,3,USED,Automatic,Front,Unleaded,178389.0,4,Sedan,4,5,8499.0,2.0,8.2,Black,Chester Hill,NSW,Before 2012
Hyundai,I20,USED,Automatic,Front,Unleaded,188262.0,4,Hatchback,5,5,10995.0,1.4,6.4,Blue,Minchinbury,NSW,Before 2012
Honda,Vezel,USED,Automatic,Other,Unleaded,71059.0,4,Wagon,4,5,24888.0,2.393601410934744,7.8050222094856,Grey,Blacktown,NSW,2012-2016
Mazda,CX-7,USED,Automatic,AWD,Unleaded,152831.0,4,SUV,4,5,11669.0,2.3,11.5,Black,Liverpool,NSW,Before 2012
Mazda,6,USED,Automatic,Front,Unleaded,124093.0,4,Sedan,4,5,16990.0,2.5,6.6,White,West Ryde,NSW,2012-2016
Nissan,Elgrand,USED,Automatic,Rear,Unleaded,103090.0,6,Wagon,4,8,19995.0,3.5,7.8050222094856,White,Five Dock,NSW,Before 2012
Kia,Grand,USED,Automatic,Front,Unleaded,98672.0,6,Wagon,4,8,13995.0,3.5,10.9,White,Minchinbury,NSW,2012-2016
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,61481.0,4,Sedan,4,5,17995.0,2.0,7.2,Grey,Minchinbury,NSW,2012-2016
Subaru,Impreza,USED,Automatic,AWD,Unleaded,61177.0,4,Hatchback,5,5,22990.0,2.0,6.6,Grey,Seven Hills,NSW,2017-2019
Mazda,3,USED,Automatic,Front,Unleaded,132648.0,4,Hatchback,5,5,16999.0,2.0,8.2,Red,Granville,NSW,2012-2016
BMW,X4,USED,Automatic,AWD,Unleaded,31367.0,4,SUV,5,5,79988.0,2.0,7.3,Grey,Sylvania,NSW,2020-2023
Mazda,CX-7,USED,Automatic,AWD,Unleaded,174818.0,4,SUV,4,5,12800.0,2.3,11.5,Red,Kirrawee,NSW,Before 2012
Audi,A5,USED,Automatic,AWD,Premium,115334.0,4,Coupe,2,4,26880.0,2.0,6.7,Grey,Blacktown,NSW,2012-2016
BMW,118I,USED,Automatic,Rear,Premium,57000.0,4,Hatchback,5,5,16990.0,1.6,5.8,White,Cabramatta,NSW,2012-2016
Mercedes-Benz,C-CLASS,USED,Automatic,Other,Unleaded,162775.0,4,Coupe,4,5,16999.0,2.393601410934744,7.8050222094856,Black,Rouse Hill,NSW,2012-2016
Toyota,HiAce,USED,Automatic,Other,Diesel,191173.0,4,Commercial,4,2,30900.0,2.842857142857143,9.511267605633805,Silver,Ingleburn,NSW,2012-2016
Subaru,Impreza,USED,Manual,Other,Unleaded,146077.0,4,Hatchback,5,5,34888.0,2.086666666666666,8.089333333333332,Black,Smeaton Grange,NSW,Before 2012
Audi,Q7,USED,Automatic,AWD,Diesel,199941.0,8,SUV,4,7,28999.0,4.1,9.2,Black,Five Dock,NSW,2012-2016
Subaru,Liberty,USED,Automatic,AWD,Premium,226127.0,6,Sedan,4,5,17950.0,3.6,9.9,White,Minto,NSW,2012-2016
Toyota,C-HR,USED,Manual,Front,Premium,58185.0,4,SUV,4,5,33888.0,1.2,5.4,Yellow,Blacktown,NSW,2017-2019
Subaru,Forester,USED,Automatic,AWD,Unleaded,16136.0,4,SUV,4,5,39990.0,2.5,7.4,Silver,Windsor,NSW,2020-2023
Mazda,CX-3,USED,Automatic,AWD,Unleaded,31531.0,4,SUV,4,5,23950.0,2.0,6.7,White,Penrith,NSW,2012-2016
Jeep,Grand,USED,Automatic,4WD,Diesel,76472.0,6,SUV,4,5,41950.0,3.0,7.5,White,Glebe,NSW,2017-2019
Hyundai,I30,USED,Automatic,Front,Unleaded,62719.0,4,Hatchback,4,5,21999.0,2.0,7.4,Silver,Homebush,NSW,2017-2019
Nissan,X-Trail,USED,Automatic,Front,Unleaded,52035.0,4,SUV,4,5,27990.0,2.5,7.9,Grey,Windsor,NSW,2020-2023
Honda,City,USED,Automatic,Front,Unleaded,146445.0,4,Sedan,4,5,8950.0,1.5,6.6,Black,Kogarah,NSW,Before 2012
Honda,CR-V,USED,Automatic,Front,Unleaded,35214.0,4,SUV,4,7,37880.0,1.5,7.3,Grey,Blacktown,NSW,2020-2023
Jeep,Grand,USED,Automatic,Rear,Premium,69001.0,6,SUV,4,5,24990.0,3.6,10.1,Grey,Artarmon,NSW,2012-2016
Toyota,RAV4,USED,Automatic,4WD,Unleaded,106718.0,4,SUV,4,5,14999.0,2.4,9.6,Silver,Lansvale,NSW,Before 2012
Holden,Commodore,USED,Automatic,Rear,Unleaded,59689.0,6,Sedan,4,5,22999.0,3.0,8.3,Red,Blacktown,NSW,2012-2016
Mercedes-Benz,CLC200,USED,Automatic,Rear,Premium,177834.0,4,Coupe,2,4,7999.0,1.8,9.0,Silver,Five Dock,NSW,Before 2012
Dodge,Journey,USED,Automatic,Other,Unleaded,147589.0,6,Wagon,4,7,10999.0,3.15,10.35,White,Rouse Hill,NSW,2012-2016
Mazda,6,USED,Automatic,Front,Unleaded,105767.0,4,Sedan,4,5,19999.0,2.5,6.6,White,Homebush,NSW,2012-2016
Volkswagen,Caddy,USED,Automatic,Front,Premium,87293.0,4,Commercial,3,2,30999.0,1.4,6.0,White,Blacktown,NSW,2017-2019
Honda,Civic,USED,Automatic,Front,Unleaded,154347.0,4,Sedan,4,5,15990.0,1.8,6.7,Silver,Minchinbury,NSW,2012-2016
Jeep,Compass,USED,Automatic,Front,Unleaded,20827.0,4,SUV,4,5,32888.0,2.4,7.9,White,Ryde,NSW,2020-2023
Toyota,HiAce,USED,Automatic,Other,Unleaded,112980.0,4,Commercial,4,2,31900.0,2.842857142857143,9.511267605633805,White,Ingleburn,NSW,Before 2012
Mazda,CX-9,USED,Automatic,Other,Unleaded,97745.0,4,Wagon,4,7,22999.0,2.873109243697479,9.53529411764706,Blue,Blacktown,NSW,2012-2016
Toyota,Yaris,USED,Automatic,Front,Unleaded,147626.0,4,Hatchback,5,5,10995.0,1.3,6.5,White,Minchinbury,NSW,Before 2012
Jeep,Grand,USED,Automatic,4WD,Diesel,114424.0,6,SUV,4,5,29990.0,3.0,7.5,Grey,Castle Hill,NSW,2012-2016
Mazda,3,USED,Manual,Front,Unleaded,153020.0,4,Hatchback,5,5,13950.0,2.5,8.6,Red,Liverpool,NSW,Before 2012
Ford,Ranger,USED,Automatic,4WD,Diesel,98700.0,5,Ute / Tray,4,5,36999.0,3.2,9.0,Blue,Five Dock,NSW,2012-2016
Holden,Captiva,USED,Automatic,Other,Diesel,183924.0,4,Wagon,4,7,9990.0,2.3875,8.853125,White,Granville,NSW,Before 2012
Toyota,86,USED,Automatic,Rear,Premium,103706.0,4,Coupe,2,4,24990.0,2.0,7.1,Orange,Croydon,NSW,2012-2016
Volkswagen,Golf,USED,Automatic,Front,Premium,126532.0,4,Hatchback,5,5,13990.0,1.4,5.2,Gold,Cabramatta,NSW,2012-2016
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,73421.0,4,Hatchback,5,5,16990.0,2.0,7.3,Grey,Brookvale,NSW,2012-2016
Toyota,Camry,USED,Automatic,Front,Unleaded,155135.0,4,Sedan,4,5,10995.0,2.4,9.9,White,Minchinbury,NSW,Before 2012
Hyundai,I20,USED,Automatic,Front,Unleaded,123330.0,4,Hatchback,5,5,12990.0,1.4,6.4,Grey,Brookvale,NSW,2012-2016
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,44249.0,4,Hatchback,5,5,18990.0,2.4,8.9,Silver,Arncliffe,NSW,2012-2016
Mazda,2,USED,Automatic,Front,Unleaded,27100.0,4,Hatchback,5,5,23999.0,1.5,4.9,Silver,Darlinghurst,NSW,2017-2019
Mazda,3,USED,Automatic,Front,Unleaded,70661.0,4,Hatchback,5,5,14995.0,2.0,8.2,White,Minchinbury,NSW,Before 2012
Mitsubishi,Triton,USED,Automatic,4WD,Diesel,215100.0,4,Ute / Tray,4,5,18995.0,2.5,9.3,White,Eastern Creek,NSW,2012-2016
Volkswagen,Golf,USED,Automatic,Front,Premium,155036.0,4,Hatchback,5,5,14990.0,1.4,5.4,Black,Castle Hill,NSW,2012-2016
Holden,Commodore,USED,Automatic,Rear,Unleaded,133934.0,6,Wagon,4,5,22999.0,3.6,9.8,White,Homebush,NSW,2012-2016
Volkswagen,Golf,USED,Automatic,Front,Premium,174915.0,4,Hatchback,5,5,14990.0,2.0,8.0,Silver,Cabramatta,NSW,Before 2012
Holden,Cruze,USED,Automatic,Front,Unleaded,117000.0,4,Sedan,4,5,7888.0,1.8,7.4,Silver,Windsor,NSW,2012-2016
Hyundai,Imax,USED,Automatic,Rear,Diesel,190176.0,4,Wagon,4,8,27990.0,2.5,8.8,Grey,Cabramatta,NSW,2017-2019
Mitsubishi,Triton,USED,Manual,4WD,Diesel,231675.0,4,Ute / Tray,4,5,19800.0,2.5,9.1,White,Smithfield,NSW,2012-2016
BMW,330I,USED,Automatic,Rear,Premium,23332.0,4,Sedan,4,5,67988.0,2.0,6.4,Black,Sylvania,NSW,2020-2023
Volkswagen,Golf,USED,Automatic,Front,Premium,130647.0,4,Wagon,4,5,21880.0,1.4,5.6,White,Blacktown,NSW,2017-2019
Audi,Q3,USED,Automatic,Front,Premium,47307.0,4,SUV,4,5,41888.0,1.4,7.2,White,Carlton,NSW,2017-2019
Nissan,Elgrand,USED,Automatic,Other,Unleaded,69619.0,6,Commercial,4,8,17900.0,3.5,7.8050222094856,Black,Ingleburn,NSW,Before 2012
Toyota,Estima,USED,Automatic,Other,Unleaded,128647.0,4,Commercial,4,7,18900.0,2.4,7.8050222094856,Silver,Ingleburn,NSW,Before 2012
Subaru,Outback,USED,Automatic,AWD,Premium,74983.0,4,SUV,4,5,29990.0,2.5,7.3,Silver,North Narrabeen,NSW,2012-2016
Mazda,6,USED,Manual,Front,Premium,102496.0,4,Hatchback,5,5,7920.0,2.3,8.8,Black,Leichhardt,NSW,Before 2012
Hyundai,Accent,USED,Automatic,Front,Unleaded,84924.0,4,Hatchback,5,5,14999.0,1.6,6.4,Silver,Homebush,NSW,2012-2016
Land,Rover,USED,Automatic,4WD,Diesel,159558.0,6,SUV,4,5,38950.0,3.0,8.8,White,Glebe,NSW,2012-2016
Ford,Focus,USED,Automatic,Front,Unleaded,67590.0,4,Hatchback,5,5,12990.0,1.6,6.6,Silver,Leichhardt,NSW,2012-2016
Kia,Sportage,USED,Automatic,AWD,Unleaded,65502.0,4,SUV,4,5,29990.0,2.4,8.5,White,Ryde,NSW,2017-2019
Porsche,Cayenne,USED,Automatic,AWD,Premium,193271.0,8,SUV,4,5,29990.0,4.8,10.5,White,Haberfield,NSW,Before 2012
Ford,Territory,USED,Automatic,AWD,Unleaded,173839.0,6,SUV,4,5,8950.0,4.0,12.2,White,Penrith,NSW,Before 2012
Suzuki,Swift,USED,Automatic,Front,Premium,55794.0,4,Hatchback,5,5,26280.0,1.2875,5.451041666666667,Yellow,Blacktown,NSW,2017-2019
Nissan,Navara,USED,Automatic,4WD,Diesel,258936.0,4,Ute / Tray,4,5,21290.0,2.3,7.0,White,Blacktown,NSW,2012-2016
Toyota,Estima,USED,Automatic,Other,Unleaded,106208.0,4,Commercial,4,7,22900.0,2.4,7.8050222094856,Blue,Ingleburn,NSW,Before 2012
Daihatsu,Hijet,USED,Manual,Other,Unleaded,19730.0,4,Ute / Tray,4,2,33888.0,2.393601410934744,7.8050222094856,Green,West Ryde,NSW,2017-2019
Toyota,RAV4,USED,Automatic,AWD,Diesel,292134.0,4,SUV,4,5,14995.0,2.2,6.5,Grey,Bankstown,NSW,2012-2016
Toyota,Hilux,USED,Automatic,4WD,Diesel,251000.0,4,Ute / Tray,4,5,21290.0,3.0,9.5,White,Blacktown,NSW,Before 2012
Mazda,3,USED,Automatic,Front,Unleaded,130242.0,4,Hatchback,5,5,16388.0,2.0,5.8,Brown,Liverpool,NSW,2012-2016
Hyundai,Venue,USED,Automatic,Front,Unleaded,35024.0,4,SUV,4,5,26990.0,1.6,7.2,White,Castle Hill,NSW,2020-2023
BMW,X1,USED,Automatic,AWD,Diesel,44145.0,4,SUV,4,5,32000.0,2.0,5.1,White,Campbelltown,NSW,2012-2016
BMW,330I,USED,Automatic,Rear,Premium,29567.0,4,Sedan,4,5,67988.0,2.0,6.4,Black,Sylvania,NSW,2020-2023
Mazda,6,USED,Automatic,Front,Premium,223898.0,4,Hatchback,5,5,7600.0,2.3,8.9,Black,Punchbowl,NSW,Before 2012
Hyundai,Veloster,USED,Automatic,Front,Unleaded,155244.0,4,Hatchback,3,4,17990.0,1.6,6.4,White,Minchinbury,NSW,2012-2016
Toyota,Camry,USED,Automatic,Front,Unleaded,149988.0,4,Sedan,4,5,19950.0,2.5,7.9,Grey,Pendle Hill,NSW,2017-2019
Mitsubishi,Lancer,USED,Automatic,Front,Unleaded,205373.0,4,Hatchback,5,5,9990.0,2.0,7.3,Red,Minchinbury,NSW,Before 2012
Suzuki,Swift,USED,Automatic,Front,Unleaded,201011.0,4,Hatchback,5,5,7999.0,1.4,6.2,Grey,Penrith,NSW,Before 2012
Ford,Transit,USED,Manual,Rear,Diesel,305593.0,4,Commercial,2,3,9995.0,2.4,9.5,White,Minchinbury,NSW,Before 2012
Toyota,Estima,USED,Automatic,Other,Unleaded,165589.0,4,Commercial,4,7,19900.0,2.4,7.8050222094856,Black,Ingleburn,NSW,Before 2012
Peugeot,308,USED,Automatic,Front,Premium,57217.0,3,Hatchback,5,5,16990.0,1.2,5.1,Silver,Homebush,NSW,2017-2019
Holden,Trax,USED,Automatic,Front,Unleaded,83147.0,4,SUV,4,5,17888.0,1.4,6.9,Blue,Blacktown,NSW,2017-2019
Mitsubishi,Triton,USED,Automatic,4WD,Diesel,204000.0,4,Ute / Tray,4,5,18995.0,2.5,9.3,White,Eastern Creek,NSW,2012-2016
Subaru,Forester,USED,Manual,AWD,Unleaded,122077.0,4,SUV,4,5,16857.0,2.0,7.2,Red,Sylvania,NSW,2012-2016
Mazda,CX-3,USED,Automatic,Front,Unleaded,60581.0,4,SUV,4,5,22990.0,2.0,6.1,Blue,Castle Hill,NSW,2012-2016
Nissan,Navara,USED,Manual,4WD,Diesel,259488.0,4,Ute / Tray,2,2,13950.0,2.5,9.8,White,Campbelltown,NSW,Before 2012
Holden,Captiva,USED,Automatic,Front,Unleaded,186954.0,4,SUV,4,7,12990.0,2.4,9.0,Grey,Haberfield,NSW,2017-2019
Kia,Cerato,USED,Automatic,Front,Unleaded,21350.0,4,Hatchback,5,5,22990.0,2.0,7.1,Red,Blacktown,NSW,2017-2019
Mitsubishi,Triton,USED,Manual,Rear,Diesel,88861.0,4,Ute / Tray,2,2,21880.0,2.5,8.0,White,Mcgraths Hill,NSW,2012-2016
Mercedes-Benz,C200,USED,Automatic,Rear,Hybrid,72540.0,4,Sedan,4,4,39990.0,2.0,6.5,Blue,Blacktown,NSW,2017-2019
Toyota,Corolla,USED,Automatic,Front,Hybrid,87043.0,4,Hatchback,5,5,39990.0,1.8,4.2,Blue,Wollongong,NSW,2020-2023
Ford,Ranger,USED,Manual,4WD,Diesel,254121.0,5,Ute / Tray,4,5,21990.0,3.2,9.4,White,Cabramatta,NSW,2012-2016
Honda,Civic,USED,Manual,Front,Premium,165450.0,4,Hatchback,3,4,18990.0,2.0,9.3,Silver,Minchinbury,NSW,Before 2012
Honda,CR-V,USED,Automatic,Front,Unleaded,15087.0,4,SUV,4,5,39990.0,1.5,7.3,White,Banksia,NSW,2020-2023
Nissan,Navara,USED,Automatic,4WD,Diesel,159056.0,4,Ute / Tray,4,5,21990.0,2.5,10.5,White,Campbelltown,NSW,2012-2016
Hyundai,Tucson,USED,Automatic,AWD,Diesel,97295.0,4,SUV,4,5,31990.0,2.0,6.8,White,Wollongong,NSW,2017-2019
